Codigo del diagnostico,Nombre del diagnostico,Sexo del diagnostico
P809,HIPOTERMIA DEL RECIEN NACIDO. NO ESPECIFICADA,A
P810,HIPERTERMIA DEL RECIEN NACIDO INDUCIDA POR LAS CONDICIONES AMBIENTALES,A
P818,OTRAS ALTERACIONES ESPECIFICADAS DE LA REGULACION DE LA TEMPERATURA DEL RECIEN NACIDO,A
P819,ALTERACION NO ESPECIFICADA DE LA REGULACION DE LA TEMPERATURA EN EL RECIEN NACIDO,A
P830,ESCLEREMA NEONATAL,A
P831,ERITEMA TOXICO NEONATAL,A
P832,HIDROPESIA FETAL NO DEBIDA A ENFERMEDAD HEMOLITICA,A
P833,OTROS EDEMAS Y LOS NO ESPECIFICADOS. PROPIOS DEL FETO Y DEL RECIEN NACIDO,A
P834,INGURGITACION MAMARIA DEL RECIEN NACIDO,A
P835,HIDROCELE CONGENITO,A
P836,POLIPO UMBILICAL DEL RECIEN NACIDO,A
P838,OTRAS AFECCIONES ESPECIFICADAS DE LA PIEL. PROPIAS DEL FETO Y DEL RECIEN NACIDO,A
P839,AFECCION NO ESPECIFICADA DE LA PIEL. PROPIA DEL FETO Y DEL RECIEN NACIDO,A
P90X,CONVULSIONES DEL RECIEN NACIDO,A
P910,ISQUEMIA CEREBRAL NEONATAL,A
P911,QUISTES PERIVENTRICULARES ADQUIRIDOS DEL RECIEN NACIDO,A
P912,LEUCOMALACIA CEREBRAL NEONATAL,A
P913,IRRITABILIDAD CEREBRAL NEONATAL,A
P914,DEPRESION CEREBRAL NEONATAL,A
P915,COMA NEONATAL,A
P916,ENCEFALOPATIA HIPOXICO ISQUEMICA DEL RECIEN NACIDO,A
P917,HIDROCEFALIA ADQUIRIDA DEL RECIEN NACIDO,A
P918,OTRAS ALTERACIONES CEREBRALES ESPECIFICADAS DEL RECIEN NACIDO,A
P919,ALTERACION CEREBRAL NO ESPECIFICADA DEL RECIEN NACIDO,A
P920,VOMITOS DEL RECIEN NACIDO,A
P921,REGURGITACION Y RUMIACION DEL RECIEN NACIDO,A
P922,LENTITUD EN LA INGESTION DE ALIMENTOS DEL RECIEN NACIDO,A
P923,HIPOALIMENTACION DEL RECIEN NACIDO,A
P924,HIPERALIMENTACION DEL RECIEN NACIDO,A
P925,DIFICULTAD NEONATAL EN LA LACTANCIA MATERNA,A
P928,OTROS PROBLEMAS DE ALIMENTACION DEL RECIEN NACIDO,A
P929,PROBLEMA NO ESPECIFICADO DE LA ALIMENTACION DEL RECIEN NACIDO,A
P93X,REACCIONES E INTOXICACIONES DEBIDAS A DROGAS ADMINISTRADAS AL FETO Y AL RECIEN NACIDO,A
P940,MIASTENIA GRAVE NEONATAL TRANSITORIA,A
P941,HIPERTONIA CONGENITA,A
P942,HIPOTONIA CONGENITA,A
P948,OTROS TRASTORNOS DEL TONO MUSCULAR EN EL RECIEN NACIDO,A
P949,TRASTORNO NO ESPECIFICADO DEL TONO MUSCULAR EN EL RECIEN NACIDO,A
P95X,MUERTE FETAL DE CAUSA NO ESPECIFICADA,A
P960,INSUFICIENCIA RENAL CONGENITA,A
P961,SINTOMAS NEONATALES DE ABSTINENCIA POR DROGADICCION MATERNA,A
P962,SINTOMAS DE ABSTINENCIA POR EL USO TERAPEUTICO DE DROGAS EN EL RECIEN NACIDO,A
P963,AMPLITUD DE LAS SUTURAS CRANEALES DEL RECIEN NACIDO,A
P964,TERMINACION DEL EMBARAZO. FETO Y RECIEN NACIDO,A
P965,COMPLICACIONES DE PROCEDIMIENTOS INTRAUTERINOS. NO CLASIFICADOS EN OTRA PARTE,A
P968,OTRAS AFECCIONES ESPECIFICADAS ORIGINADAS EN EL PERIODO PERINATAL,A
P969,AFECCION NO ESPECIFICADA ORIGINADA EN EL PERIODO PERINATAL,A
Q000,ANENCEFALIA,A
Q001,CRANEORRAQUISQUISIS,A
Q002,INIENCEFALIA,A
Q010,ENCEFALOCELE FRONTAL,A
Q011,ENCEFALOCELE NASOFRONTAL,A
Q012,ENCEFALOCELE OCCIPITAL,A
Q018,ENCEFALOCELE DE OTROS SITIOS,A
Q019,ENCEFALOCELE. NO ESPECIFICADO,A
Q02X,MICROCEFALIA,A
Q030,MALFORMACIONES DEL ACUEDUCTO DE SILVIO,A
Q031,ATRESIA DE LOS AGUJEROS DE MAGENDIE Y DE LUSCHKA,A
Q038,OTROS HIDROCEFALOS CONGENITOS,A
Q039,HIDROCEFALO CONGENITO. NO ESPECIFICADO,A
Q040,MALFORMACIONES CONGENITAS DEL CUERPO CALLOSO,A
Q041,ARRINENCEFALIA,A
Q042,HOLOPROSENCEFALIA,A
Q043,OTRAS ANOMALIAS HIPOPLASICAS DEL ENCEFALO,A
Q044,DISPLASIA OPTICOSEPTAL,A
Q045,MEGALENCEFALIA,A
Q046,QUISTES CEREBRALES CONGENITOS,A
Q048,OTRAS MALFORMACIONES CONGENITAS DEL ENCEFALO. ESPECIFICADAS,A
Q049,MALFORMACION CONGENITA DEL ENCEFALO. NO ESPECIFICADA,A
Q050,ESPINA BIFIDA CERVICAL CON HIDROCEFALO,A
Q051,ESPINA BIFIDA TORACICA CON HIDROCEFALO,A
Q052,ESPINA BIFIDA LUMBAR CON HIDROCEFALO,A
Q053,ESPINA BIFIDA SACRA CON HIDROCEFALO,A
Q054,ESPINA BIFIDA CON HIDROCEFALO. SIN OTRA ESPECIFICACION,A
Q055,ESPINA BIFIDA CERVICAL SIN HIDROCEFALO,A
Q056,ESPINA BIFIDA TORACICA SIN HIDROCEFALO,A
Q057,ESPINA BIFIDA LUMBAR SIN HIDROCEFALO,A
Q058,ESPINA BIFIDA SACRA SIN HIDROCEFALO,A
Q059,ESPINA BIFIDA. NO ESPECIFICADA,A
Q060,AMIELIA,A
Q061,HIPOPLASIA Y DISPLASIA DE LA MEDULA ESPINAL,A
Q062,DIASTEMATOMIELIA,A
Q063,OTRAS ANOMALIAS CONGENITAS DE LA COLA DE CABALLO,A
Q064,HIDROMIELIA,A
Q068,OTRAS MALFORMACIONES CONGENITAS ESPECIFICADAS DE LA MEDULA ESPINAL,A
Q069,MALFORMACION CONGENITA DE LA MEDULA ESPINAL. NO ESPECIFICADA,A
Q070,SINDROME DE ARNOLD-CHIARI,A
Q078,OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA NERVIOSO. ESPECIFICADAS,A
Q079,OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA NERVIOSO. NO ESPECIFICADA,A
Q100,BLEFAROPTOSIS CONGENITA,A
Q101,ECTROPION CONGENITO,A
Q102,ENTROPION CONGENITO,A
Q103,OTRAS MALFORMACIONES CONGENITAS DE LOS PARPADOS,A
Q104,AUSENCIA Y AGENESIA DEL APARATO LAGRIMAL,A
Q105,ESTENOSIS Y ESTRECHEZ CONGENITAS DEL CONDUCTO LAGRIMAL,A
Q106,OTRAS MALFORMACIONES CONGENITAS DEL APARATO LAGRIMAL,A
Q107,MALFORMACION CONGENITA DE LA ORBITA,A
Q110,GLOBO OCULAR QUISTICO,A
Q111,OTRAS ANOFTALMIAS,A
Q112,MICROFTALMIA,A
Q113,MACROFTALMIA,A
Q120,CATARATA CONGENITA,A
Q121,DESPLAZAMIENTO CONGENITO DEL CRISTALINO,A
Q122,COLOBOMA DEL CRISTALINO,A
Q123,AFAQUIA CONGENITA,A
Q124,ESFEROFAQUIA,A
Q128,OTRAS MALFORMACIONES CONGENITAS DEL CRISTALINO,A
Q129,MALFORMACION CONGENITA DEL CRISTALINO. NO ESPECIFICADA,A
Q130,COLOBOMA DEL IRIS,A
Q131,AUSENCIA DEL IRIS,A
Q132,OTRAS MALFORMACIONES CONGENITAS DEL IRIS,A
Q133,OPACIDAD CORNEAL CONGENITA,A
Q134,OTRAS MALFORMACIONES CONGENITAS DE LA CORNEA,A
Q135,ESCLEROTICA AZUL,A
Q138,OTRAS MALFORMACIONES CONGENITAS DEL SEGMENTO ANTERIOR DEL OJO,A
Q139,MALFORMACION CONGENITA DEL SEGMENTO ANTERIOR DEL OJO. NO ESPECIFICADA,A
Q140,MALFORMACION CONGENITA DEL HUMOR VITREO,A
Q141,MALFORMACION CONGENITA DE LA RETINA,A
Q142,MALFORMACION CONGENITA DEL DISCO OPTICO,A
Q143,MALFORMACION CONGENITA DE LA COROIDES,A
Q148,OTRAS MALFORMACIONES CONGENITAS DEL SEGMENTO POSTERIOR DEL OJO,A
Q149,MALFORMACION CONGENITA DEL SEGMENTO POSTERIOR DEL OJO. NO ESPECIFICADA,A
Q150,GLAUCOMA CONGENITO,A
Q158,OTRAS MALFORMACIONES CONGENITAS DEL OJO. ESPECIFICADAS,A
Q159,MALFORMACIONES CONGENITAS DEL OJO. NO ESPECIFICADAS,A
Q160,AUSENCIA CONGENITA DEL PABELLON (DE LA OREJA),A
Q161,AUSENCIA CONGENITA. ATRESIA O ESTRECHEZ DEL CONDUCTO AUDITIVO (EXTERNO),A
Q162,AUSENCIA DE LA TROMPA DE EUSTAQUIO,A
Q163,MALFORMACION CONGENITA DE LOS HUESECILLOS DEL OIDO,A
Q164,OTRAS MALFORMACIONES CONGENITAS DEL OIDO MEDIO,A
Q165,MALFORMACION CONGENITA DEL OIDO INTERNO,A
Q169,MALFORMACION CONGENITA DEL OIDO QUE CAUSA ALTERACION DE LA AUDICION. SIN OTRA ESPECIFICACION,A
Q170,OREJA SUPERNUMERARIA,A
Q171,MACROTIA,A
Q172,MICROTIA,A
Q173,OTRAS DEFORMIDADES DEL PABELLON AURICULAR,A
Q174,ANOMALIA DE LA POSICION DE LA OREJA,A
Q175,OREJA PROMINENTE,A
Q178,OTRAS MALFORMACIONES CONGENITAS DEL OIDO. ESPECIFICADAS,A
Q179,MALFORMACION CONGENITA DEL OIDO. NO ESPECIFICADA,A
Q180,SENO. FISTULA O QUISTE DE LA HENDIDURA BRANQUIAL,A
Q181,SENO Y QUISTE PREAURICULAR,A
Q182,OTRAS MALFORMACIONES DE LAS HENDIDURAS BRANQUIALES,A
Q183,PTERIGION DEL CUELLO,A
Q184,MACROSTOMIA,A
Q185,MICROSTOMIA,A
Q186,MACROQUEILIA,A
Q187,MICROQUEILIA,A
Q188,OTRAS MALFORMACIONES CONGENITAS ESPECIFICADAS DE CARA Y CUELLO,A
Q189,MALFORMACION CONGENITA DE LA CARA Y DEL CUELLO. NO ESPECIFICADA,A
Q200,TRONCO ARTERIOSO COMUN,A
Q201,TRANSPOSICION DE LOS GRANDES VASOS EN VENTRICULO DERECHO,A
Q202,TRANSPOSICION DE LOS GRANDES VASOS EN VENTRICULO IZQUIERDO,A
Q203,DISCORDANCIA DE LA CONEXION VENTRICULOARTERIAL,A
Q204,VENTRICULO CON DOBLE ENTRADA,A
Q205,DISCORDANCIA DE LA CONEXION AURICULOVENTRICULAR,A
Q206,ISOMERISMO DE LOS APENDICES AURICULARES,A
Q208,OTRAS MALFORMACIONES CONGENITAS DE LAS CAMARAS CARDIACAS Y SUS CONEXIONES,A
Q209,MALFORMACION CONGENITA DE LAS CAMARAS CARDIACAS Y SUS CONEXIONES. NO ESPECIFICADA,A
Q210,DEFECTO DEL TABIQUE VENTRICULAR,A
Q211,DEFECTO DEL TABIQUE AURICULAR,A
Q212,DEFECTO DEL TABIQUE AURICULOVENTRICULAR,A
Q213,TETRALOGIA DE FALLOT,A
Q214,DEFECTO DEL TABIQUE AORTOPULMONAR,A
Q218,OTRAS MALFORMACIONES CONGENITAS DE LOS TABIQUES CARDIACOS,A
Q219,MALFORMACION CONGENITA DEL TABIQUE CARDIACO. NO ESPECIFICADA,A
Q220,ATRESIA DE LA VALVULA PULMONAR,A
Q221,ESTENOSIS CONGENITA DE LA VALVULA PULMONAR,A
Q222,INSUFICIENCIA CONGENITA DE LA VALVULA PULMONAR,A
Q223,OTRAS MALFORMACIONES CONGENITAS DE LA VALVULA PULMONAR,A
Q224,ESTENOSIS CONGENITA DE LA VALVULA TRICUSPIDE,A
Q225,ANOMALIA DE EBSTEIN,A
Q226,SINDROME DE HIPOPLASIA DEL CORAZON DERECHO,A
Q228,OTRAS MALFORMACIONES CONGENITAS DE LA VALVULA TRICUSPIDE,A
Q229,MALFORMACION CONGENITA DE LA VALVULA TRICUSPIDE. NO ESPECIFICADA,A
Q230,ESTENOSIS CONGENITA DE LA VALVULA AORTICA,A
Q231,INSUFICIENCIA CONGENITA DE LA VALVULA AORTICA,A
Q232,ESTENOSIS MITRAL CONGENITA,A
Q233,INSUFICIENCIA MITRAL CONGENITA,A
Q234,SINDROME DE HIPOPLASIA DEL CORAZON IZQUIERDO,A
Q238,OTRAS MALFORMACIONES CONGENITAS DE LAS VALVULAS AORTICA Y MITRAL,A
Q239,MALFORMACION CONGENITA DE LAS VALVULAS AORTICA Y MITRAL. NO ESPECIFICADA,A
Q240,DEXTROCARDIA,A
Q241,LEVOCARDIA,A
Q242,CORAZON TRIAURICULAR,A
Q243,ESTENOSIS DEL INFUNDIBULO PULMONAR,A
Q244,ESTENOSIS SUBAORTICA CONGENITA,A
Q245,MALFORMACION DE LOS VASOS CORONARIOS,A
Q246,BLOQUEO CARDIACO CONGENITO,A
Q248,OTRAS MALFORMACIONES CONGENITAS DEL CORAZON. ESPECIFICADAS,A
Q249,MALFORMACION CONGENITA DEL CORAZON. NO ESPECIFICADA,A
Q250,CONDUCTO ARTERIOSO PERSISTENTE,A
Q251,COARTACION DE LA AORTA,A
Q252,ATRESIA DE LA AORTA,A
Q253,ESTENOSIS DE LA AORTA,A
Q254,OTRAS MALFORMACIONES CONGENITAS DE LA AORTA,A
Q255,ATRESIA DE LA ARTERIA PULMONAR,A
Q256,ESTENOSIS DE LA ARTERIA PULMONAR,A
Q257,OTRAS MALFORMACIONES CONGENITAS DE LA ARTERIA PULMONAR,A
Q258,OTRAS MALFORMACIONES CONGENITAS DE LAS GRANDES ARTERIAS,A
Q259,MALFORMACION CONGENITA DE LAS GRANDES ARTERIAS. NO ESPECIFICADA,A
Q260,ESTENOSIS CONGENITA DE LA VENA CAVA,A
Q261,PERSISTENCIA DE LA VENA CAVA SUPERIOR IZQUIERDA,A
Q262,CONEXION ANOMALA TOTAL DE LAS VENAS PULMONARES,A
Q263,CONEXION ANOMALA PARCIAL DE LAS VENAS PULMONARES,A
Q264,CONEXION ANOMALA DE LAS VENAS PULMONARES. SIN OTRA ESPECIFICACION,A
Q265,CONEXION ANOMALA DE LA VENA PORTA,A
Q266,FISTULA ARTERIA HEPATICA-VENA PORTA,A
Q268,OTRAS MALFORMACIONES CONGENITAS DE LAS GRANDES VENAS,A
Q269,MALFORMACION CONGENITA DE LAS GRANDES VENAS. NO ESPECIFICADA,A
Q270,AUSENCIA E HIPOPLASIA CONGENITA DE LA ARTERIA UMBILICAL,A
Q271,ESTENOSIS CONGENITA DE LA ARTERIA RENAL,A
Q272,OTRAS MALFORMACIONES CONGENITAS DE LA ARTERIA RENAL,A
Q273,MALFORMACION ARTERIOVENOSA PERIFERICA,A
Q274,FLEBECTASIA CONGENITA,A
Q278,OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA VASCULAR PERIFERICO. ESPECIFICADAS,A
Q279,MALFORMACION CONGENITA DEL SISTEMA VASCULAR PERIFERICO. NO ESPECIFICADA,A
Q280,MALFORMACION ARTERIOVENOSA DE LOS VASOS PRECEREBRALES,A
Q281,OTRAS MALFORMACIONES DE LOS VASOS PRECEREBRALES,A
Q282,MALFORMACION ARTERIOVENOSA DE LOS VASOS CEREBRALES,A
Q283,OTRAS MALFORMACIONES DE LOS VASOS CEREBRALES,A
Q288,OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA CIRCULATORIO. ESPECIFICADAS,A
Q289,MALFORMACION CONGENITA DEL SISTEMA CIRCULATORIO. NO ESPECIFICADA,A
Q300,ATRESIA DE LAS COANAS,A
Q301,AGENESIA O HIPOPLASIA DE LA NARIZ,A
Q302,HENDIDURA. FISURA O MUESCA DE LA NARIZ,A
Q303,PERFORACION CONGENITA DEL TABIQUE NASAL,A
Q308,OTRAS MALFORMACIONES CONGENITAS DE LA NARIZ,A
Q309,MALFORMACION CONGENITA DE LA NARIZ. NO ESPECIFICADA,A
Q310,PTERIGION DE LA LARINGE,A
Q311,ESTENOSIS SUBGLOTICA CONGENITA,A
Q312,HIPOPLASIA LARINGEA,A
Q313,LARINGOCELE,A
Q315,LARINGOMALASIA CONGENITA,A
Q318,OTRAS MALFORMACIONES CONGENITAS DE LA LARINGE,A
Q319,MALFORMACION CONGENITA DE LA LARINGE. NO ESPECIFICADA,A
Q320,TRAQUEOMALACIA CONGENITA,A
Q321,OTRAS MALFORMACIONES CONGENITAS DE LA TRAQUEA,A
Q322,BRONCOMALACIA CONGENITA,A
Q323,ESTENOSIS CONGENITA DE LOS BRONQUIOS,A
Q324,OTRAS MALFORMACIONES CONGENITAS DE LOS BRONQUIOS,A
Q330,QUISTE PULMONAR CONGENITO,A
Q331,LOBULO PULMONAR SUPERNUMERARIO,A
Q332,SECUESTRO DEL PULMON,A
Q333,AGENESIA DEL PULMON,A
Q334,BRONQUIECTASIA CONGENITA,A
Q335,TEJIDO ECTOPICO EN EL PULMON,A
Q336,HIPOPLASIA Y DISPLASIA PULMONAR,A
Q338,OTRAS MALFORMACIONES CONGENITAS DEL PULMON,A
Q339,MALFORMACION CONGENITA DEL PULMON. NO ESPECIFICADA,A
Q340,ANOMALIA DE LA PLEURA,A
Q341,QUISTE CONGENITO DEL MEDIASTINO,A
Q348,OTRAS MALFORMACIONES CONGENITAS ESPECIFICADAS DEL SISTEMA RESPIRATORIO,A
Q349,MALFORMACION CONGENITA DEL SISTEMA RESPIRATORIO. NO ESPECIFICADA,A
Q351,FISURA DEL PALADAR DURO,A
Q353,FISURA DEL PALADAR BLANDO,A
Q355,FISURA DEL PALADAR DURO Y DEL PALADAR BLANDO,A
Q357,FISURA DE LA UVULA,A
Q359,FISURA DEL PALADAR. SIN OTRA ESPECIFICACION,A
Q360,LABIO LEPORINO. BILATERAL,A
Q361,LABIO LEPORINO. LINEA MEDIA,A
Q369,LABIO LEPORINO. UNILATERAL,A
Q370,FISURA DEL PALADAR DURO CON LABIO LEPORINO BILATERAL,A
Q371,FISURA DEL PALADAR DURO CON LABIO LEPORINO UNILATERAL,A
Q372,FISURA DEL PALADAR BLANDO CON LABIO LEPORINO BILATERAL,A
Q373,FISURA DEL PALADAR BLANDO CON LABIO LEPORINO UNILATERAL,A
Q374,FISURA DEL PALADAR DURO Y DEL PALADAR BLANDO CON LABIO LEPORINO BILATERAL,A
Q375,FISURA DEL PALADAR DURO Y DEL PALADAR BLANDO CON LABIO LEPORINO UNILATERAL,A
Q378,FISURA DEL PALADAR CON LABIO LEPORINO BILATERAL. SIN OTRA ESPECIFICACION,A
Q379,FISURA DEL PALADAR CON LABIO LEPORINO UNILATERAL. SIN OTRA ESPECIFICACION,A
Q380,MALFORMACIONES CONGENITAS DE LOS LABIOS. NO CLASIFICADAS EN OTRA PARTE,A
Q381,ANQUILOGLOSIA,A
Q382,MACROGLOSIA,A
Q383,OTRAS MALFORMACIONES CONGENITAS DE LA LENGUA,A
Q384,MALFORMACIONES CONGENITAS DE LAS GLANDULAS Y DE LOS CONDUCTOS SALIVALES,A
Q385,MALFORMACIONES CONGENITAS DEL PALADAR. NO CLASIFICADAS EN OTRA PARTE,A
Q386,OTRAS MALFORMACIONES CONGENITAS DE LA BOCA,A
Q387,DIVERTICULO FARINGEO,A
Q388,OTRAS MALFORMACIONES CONGENITAS DE LA FARINGE,A
Q390,ATRESIA DEL ESOFAGO SIN MENCION DE FISTULA,A
Q391,ATRESIA DEL ESOFAGO CON FISTULA TRAQUEOESOFAGICA,A
Q392,FISTULA TRAQUEOESOFAGICA CONGENITA SIN MENCION DE ATRESIA,A
Q393,ESTRECHEZ O ESTENOSIS CONGENITA DEL ESOFAGO,A
Q394,PTERIGION DEL ESOFAGO,A
Q395,DILATACION CONGENITA DEL ESOFAGO,A
Q396,DIVERTICULO DEL ESOFAGO,A
Q398,OTRAS MALFORMACIONES CONGENITAS DEL ESOFAGO,A
Q399,MALFORMACION CONGENITA DEL ESOFAGO. NO ESPECIFICADA,A
Q400,ESTENOSIS HIPERTROFICA CONGENITA DEL PILORO,A
Q401,HERNIA HIATAL CONGENITA,A
Q402,OTRAS MALFORMACIONES CONGENITAS DEL ESTOMAGO. ESPECIFICADAS,A
Q403,MALFORMACION CONGENITA DEL ESTOMAGO. NO ESPECIFICADA,A
Q408,OTRAS MALFORMACIONES CONGENITAS DE LA PARTE SUPERIOR DEL TUBO DIGESTIVO,A
Q409,MALFORMACION CONGENITA DE LA PARTE SUPERIOR DEL TUBO DIGESTIVO. NO ESPECIFICADA,A
Q410,AUSENCIA. ATRESIA Y ESTENOSIS CONGENITA DEL DUODENO,A
Q411,AUSENCIA. ATRESIA Y ESTENOSIS CONGENITA DEL YEYUNO,A
Q412,AUSENCIA. ATRESIA Y ESTENOSIS CONGENITA DEL ILEON,A
Q418,AUSENCIA. ATRESIA Y ESTENOSIS CONGENITA DE OTRAS PARTES ESPECIFICADAS DEL INTESTINO DELGADO,A
Q419,AUSENCIA. ATRESIA Y ESTENOSIS CONGENITA DEL INTESTINO DELGADO. PARTE NO ESPECIFICADA,A
Q420,AUSENCIA. ATRESIA Y ESTENOSIS CONGENITA DEL RECTO. CON FISTULA,A
Q421,AUSENCIA. ATRESIA Y ESTENOSIS CONGENITA DEL RECTO. SIN FISTULA,A
Q422,AUSENCIA. ATRESIA Y ESTENOSIS CONGENITA DEL ANO. CON FISTULA,A
Q423,AUSENCIA. ATRESIA Y ESTENOSIS CONGENITA DEL ANO. SIN FISTULA,A
Q428,AUSENCIA. ATRESIA Y ESTENOSIS CONGENITA DE OTRAS PARTES DEL INTESTINO GRUESO,A
Q429,AUSENCIA. ATRESIA Y ESTENOSIS CONGENITA DEL INTESTINO GRUESO. PARTE NO ESPECIFICADA,A
Q430,DIVERTICULO DE MECKEL,A
Q431,ENFERMEDAD DE HIRSCHSPRUNG,A
Q432,OTROS TRASTORNOS FUNCIONALES CONGENITOS DEL COLON,A
Q433,MALFORMACIONES CONGENITAS DE LA FIJACION DEL INTESTINO,A
Q434,DUPLICACION DEL INTESTINO,A
Q435,ANO ECTOPICO,A
Q436,FISTULA CONGENITA DEL RECTO Y DEL ANO,A
Q437,PERSISTENCIA DE LA CLOACA,A
Q438,OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO. ESPECIFICADAS,A
Q439,MALFORMACION CONGENITA DEL INTESTINO. NO ESPECIFICADA,A
Q440,AGENESIA. APLASIA E HIPOPLASIA DE LA VESICULA BILIAR,A
Q441,OTRAS MALFORMACIONES CONGENITAS DE LA VESICULA BILIAR,A
Q442,ATRESIA DE LOS CONDUCTOS BILIARES,A
Q443,ESTRECHEZ Y ESTENOSIS CONGENITA DE LOS CONDUCTOS BILIARES,A
Q444,QUISTE DEL COLEDOCO,A
Q445,OTRAS MALFORMACIONES CONGENITAS DE LOS CONDUCTOS BILIARES,A
Q446,ENFERMEDAD QUISTICA DEL HIGADO,A
Q447,OTRAS MALFORMACIONES CONGENITAS DEL HIGADO,A
Q450,AGENESIA. APLASIA E HIPOPLASIA DEL PANCREAS,A
Q451,PANCREAS ANULAR,A
Q452,QUISTE CONGENITO DEL PANCREAS,A
Q453,OTRAS MALFORMACIONES CONGENITAS DEL PANCREAS Y DEL CONDUCTO PANCREATICO,A
Q458,OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA DIGESTIVO. ESPECIFICADAS,A
Q459,MALFORMACION CONGENITA DEL SISTEMA DIGESTIVO. NO ESPECIFICADA,A
Q500,AUSENCIA CONGENITA DE OVARIO,F
Q501,QUISTE EN DESARROLLO DEL OVARIO,F
Q502,TORSION CONGENITA DEL OVARIO,F
Q503,OTRAS MALFORMACIONES CONGENITAS DE LOS OVARIOS,F
Q504,QUISTE EMBRIONARIO DE LA TROMPA DE FALOPIO,F
Q505,QUISTE EMBRIONARIO DEL LIGAMENTO ANCHO,F
Q506,OTRAS MALFORMACIONES CONGENITAS DE LA TROMPA DE FALOPIO Y DEL LIGAMENTO ANCHO,F
Q510,AGENESIA Y APLASIA DEL UTERO,F
Q511,DUPLICACION DEL UTERO CON DUPLICACION DEL CUELLO UTERINO Y DE LA VAGINA,F
Q512,OTRA DUPLICACION DEL UTERO,F
Q513,UTERO BICORNE,F
Q514,UTERO UNICORNE,F
Q515,AGENESIA Y APLASIA DEL CUELLO UTERINO,F
Q516,QUISTE EMBRIONARIO DEL CUELLO UTERINO,F
Q517,FISTULA CONGENITA ENTRE EL UTERO Y EL TRACTO DIGESTIVO Y URINARIO,F
Q518,OTRAS MALFORMACIONES CONGENITAS DEL UTERO Y DEL CUELLO UTERINO,F
Q519,MALFORMACION CONGENITA DEL UTERO Y DEL CUELLO UTERINO. NO ESPECIFICADA,F
Q520,AUSENCIA CONGENITA DE LA VAGINA,F
Q521,DUPLICACION DE LA VAGINA,F
Q522,FISTULA RECTOVAGINAL CONGENITA,F
Q523,HIMEN IMPERFORADO,F
Q524,OTRAS MALFORMACIONES CONGENITAS DE LA VAGINA,F
Q525,FUSION DE LABIOS DE LA VULVA,F
Q526,MALFORMACION CONGENITA DEL CLITORIS,F
Q527,OTRAS MALFORMACIONES CONGENITAS DE LA VULVA,F
Q528,OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES FEMENINOS. ESPECIFICADAS,F
Q529,MALFORMACION CONGENITA DE LOS GENITALES FEMENINOS. NO ESPECIFICADA,F
Q530,ECTOPIA TESTICULAR,M
Q531,TESTICULO NO DESCENDIDO. UNILATERAL,M
Q532,TESTICULO NO DESCENDIDO. BILATERAL,M
Q539,TESTICULO NO DESCENDIDO. SIN OTRA ESPECIFICACION,M
Q540,HIPOSPADIAS DEL GLANDE,M
Q541,HIPOSPADIAS PENEANA,M
Q542,HIPOSPADIAS PENOSCROTAL,M
Q543,HIPOSPADIAS PERINEAL,M
Q544,ENCORDAMIENTO CONGENITO DEL PENE,M
Q548,OTRAS HIPOSPADIAS,M
Q549,HIPOSPADIAS. NO ESPECIFICADA,M
Q550,AUSENCIA Y APLASIA DEL TESTICULO,M
Q551,HIPOPLASIA DEL TESTICULO Y DEL ESCROTO,M
Q552,OTRAS MALFORMACIONES CONGENITAS DE LOS TESTICULOS Y DEL ESCROTO,M
Q553,ATRESIA DEL CONDUCTO DEFERENTE,M
Q554,OTRAS MALFORMACIONES CONGENITAS DE LOS CONDUCTOS DEFERENTES. DEL EPIDIDIMO. DE LAS VESICULAS SEMINALES Y DE LA PROSTATA,M
Q555,APLASIA Y AUSENCIA CONGENITA DEL PENE,M
Q556,OTRAS MALFORMACIONES CONGENITAS DEL PENE,M
Q558,OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS. ESPECIFICADAS,M
Q559,MALFORMACION CONGENITA DE LOS ORGANOS GENITALES MASCULINOS. NO ESPECIFICADA,M
Q560,HERMAFRODITISMO. NO CLASIFICADO EN OTRA PARTE,A
Q561,SEUDOHERMAFRODITISMO MASCULINO. NO CLASIFICADO EN OTRA PARTE,A
Q562,SEUDOHERMAFRODITISMO FEMENINO. NO CLASIFICADO EN OTRA PARTE,A
Q563,SEUDOHERMAFRODITISMO. NO ESPECIFICADO,A
Q564,SEXO INDETERMINADO. SIN OTRA ESPECIFICACION,A
Q600,AGENESIA RENAL. UNILATERAL,A
Q601,AGENESIA RENAL. BILATERAL,A
Q602,AGENESIA RENAL. SIN OTRA ESPECIFICACION,A
Q603,HIPOPLASIA RENAL. UNILATERAL,A
Q604,HIPOPLASIA RENAL. BILATERAL,A
Q605,HIPOPLASIA RENAL. NO ESPECIFICADA,A
Q606,SINDROME DE POTTER,A
Q610,QUISTE RENAL SOLITARIO CONGENITO,A
