601311,BIOPSIA DE VESICULA SEMINAL POR LAPAROSCOPIA,M
601401,BIOPSIA DE VESICULA SEMINAL VIA ABIERTA,M
601501,BIOPSIA DE TEJIDO PERIPROSTATICO VIA ABIERTA,M
601502,BIOPSIA DE TEJIDO PERIPROSTATICO VIA LAPAROSCOPICA,M
607100,ASPIRACION (PERCUTANEA) CON (AGUJA) DE VESICULAS SEMINALES SOD,M
607301,VESICULECTOMIA O ESPERMATOCISTECTOMIA,M
608101,DRENAJE DE COLECCION PERIPROSTATICA,M
608201,ESCISION DE LESION DE TEJIDO PERIPROSTATICO,M
609100,ASPIRACION PERCUTANEA DE PROSTATA SOD,M
609301,REVISION Y REPARACION DE CAPSULA VIA TRANSVESICAL,M
609401,CONTROL DE HEMORRAGIA (POSQUIRURGICA) DE PROSTATA VIA ABIERTA,M
609402,CONTROL DE HEMORRAGIA PROSTATICA VIA ENDOSCOPICA,M
609501,COLOCACION DE DISPOSITIVO TRANSURETRAL EN URETRA PROSTATICA VIA ABIERTA,M
609502,COLOCACION DE DISPOSITIVO TRANSURETRAL EN URETRA PROSTATICA VIA PERCUTANEA,M
609503,COLOCACION DE DISPOSITIVO TRANSURETRAL EN URETRA PROSTATICA VIA ENDOSCOPICA,M
610101,INCISION Y DRENAJE DE ESCROTO Y TUNICA VAGINALIS,M
611101,BIOPSIA DE ESCROTO,M
611102,BIOPSIA DE TUNICA VAGINALIS,M
613101,RESECCION DE QUISTE SEBACEO EN ESCROTO,M
613102,FULGURACION DE LESION ESCROTAL,M
613401,RESECCION PARCIAL DEL ESCROTO,M
614100,SUTURA DE LACERACION DE ESCROTO Y TUNICA VAGINALIS SOD,M
614200,FISTULECTOMIA DEL ESCROTO SOD,M
614910,RECONSTRUCCION DE ESCROTO CON COLGAJO O INJERTO PEDICULAR,M
619100,ASPIRACION PERCUTANEA DE TUNICA VAGINAL (HIDROCELE) SOD,M
619201,DRENAJE DE COLECCION DE TUNICA VAGINALIS,M
619202,EXTRACCION DE CUERPO EXTRAÑO DEL ESCROTO POR INCISION,M
620100,DRENAJE POR INCISION EN TESTICULO SOD,M
621100,BIOPSIA CERRADA (PERCUTANEA) (AGUJA) DE TESTICULO SOD,M
621200,BIOPSIA ABIERTA DE TESTICULO SOD,M
621910,EXPLORACION ABDOMINAL DE TESTICULO NO DESCENDIDO VIA ABIERTA,M
621911,EXPLORACION ABDOMINAL DE TESTICULO NO DESCENDIDO POR LAPAROSCOPIA,M
622100,RESECCION DE LESION TESTICULAR SOD,M
623001,ORQUIECTOMIA CON EPIDIDIDECTOMIA (RADICAL),M
625101,ORQUIDOPEXIA CON DESTORSION DE TESTICULO O DE CORDON ESPERMATICO,M
625104,FIJACION TESTICULAR PROFILACTICA,M
625201,IMPLANTACION DEL TESTICULO EN TEJIDOS VECINOS,M
625203,ORQUIDOPEXIA UNILATERAL VIA ABIERTA,M
625204,ORQUIDOPEXIA UNILATERAL VIA LAPAROSCOPICA,M
625205,ORQUIDOPEXIA BILATERAL VIA ABIERTA,M
625206,ORQUIDOPEXIA BILATERAL VIA LAPAROSCOPICA,M
626100,ORQUIDORRAFIA O SUTURA DE TESTICULO SOD,M
629101,ASPIRACION DE TESTICULO VIA ABIERTA,M
629102,ASPIRACION DE TESTICULO VIA PERCUTANEA,M
629300,EXTRACCION DE CUERPO EXTRAÑO DEL TESTICULO SOD,M
630100,BIOPSIA DE EPIDIDIMO SOD,M
630200,BIOPSIA DE CORDON ESPERMATICO SOD,M
631001,LIGADURA ALTA DE VENA ESPERMATICA VIA RETROPERITONEAL,M
631201,CLIPAJE DE ARTERIA ESPERMATICA VIA RETROPERITONEAL,M
631301,HIDROCELECTOMIA DE CORDON ESPERMATICO VIA INGUINAL,M
633200,RESECCION DE HEMATOCELE DE CORDON ESPERMATICO SOD,M
634000,EPIDIDIMECTOMIA SOD,M
635100,SUTURA DE LACERACION EN CORDON ESPERMATICO Y EPIDIDIMO SOD,M
635200,REDUCCION DE TORSION TESTICULAR O CORDON ESPERMATICO SOD,M
636100,VASOTOMIA SOD,M
637100,LIGADURA O SECCION DE CONDUCTO DEFERENTE SOD,M
637200,LIGADURA DE CORDON ESPERMATICO SOD,M
637300,VASECTOMIA SOD,M
638100,SUTURA DE LACERACION DE CONDUCTO DEFERENTE Y EPIDIDIMO SOD,M
638201,RECONSTRUCCION DEL CONDUCTO DEFERENTE SECCIONADO O VASO-VASOSTOMIA VIA ABIERTA,M
638300,EPIDIDIMOVASOSTOMIA SOD,M
639001,ASPIRACION DE EPIDIDIMO VIA ABIERTA,M
639002,ASPIRACION DE EPIDIDIMO VIA PERCUTANEA,M
639101,ASPIRACION DE ESPERMATOCELE VIA PERCUTANEA,M
639201,INCISION DEL EPIDIDIMO [EPIDIDIMOTOMIA] Y DRENAJE VIA ABIERTA,M
639202,INCISION DEL EPIDIDIMO [EPIDIDIMOTOMIA] Y DRENAJE VIA PERCUTANEO,M
639300,INCISION Y DRENAJE DE CORDON ESPERMATICO SOD,M
639600,EXTRACCION DE CUERPO EXTRAÑO DE CORDON ESPERMATICO Y EPIDIDIMO SOD,M
641100,BIOPSIA DE PENE SOD,M
642100,FULGURACION O RESECCION DE LESION EN PENE SOD,M
643100,AMPUTACION PARCIAL DEL PENE O PENECTOMIA PARCIAL SOD,M
644100,SUTURA DE LACERACION O HERIDA EN PENE SOD,M
644200,LIBERACION DE CORDEE SOD,M
644300,CONSTRUCCION (DE NOVO) DE PENE SOD,M
644400,RECONSTRUCCION PENEANA SOD,M
644500,REIMPLANTE O RECOLOCACION DE PENE SOD,M
644601,TRASPLANTE DE PENE,M
644901,NEUROTOMIA PENEANA,M
644902,ESCISION DE NODULOS DE ENFERMEDAD DE PEYRONIE SIN INJERTO,M
644903,ESCISION DE NODULOS DE ENFERMEDAD DE PEYRONIE CON INJERTO,M
644920,PLASTIA DE FRENILLO PENEAL,M
644930,INYECCION EN PLACAS DE FIBROSIS DE PENE,M
649100,CORTE DORSAL O LATERAL EN PREPUCIO SOD,M
649300,SECCION O CORTE DE ADHERENCIAS PENEANAS SOD,M
649801,DERIVACION CUERPO CAVERNOSA - CUERPO ESPONJOSA O BULBO - CAVERNOSA,M
649802,DERIVACION CUERPO-SAFENA O SAFENO-CAVERNOSA,M
649803,IRRIGACION  PUNCION O DRENAJE DE CUERPO CAVERNOSO,M
649806,RESECCION DE VENAS DEL PENE,M
877980,CAVERNOGRAFIA Y CAVERNOMETRIA,M
881501,ECOGRAFIA DE PROSTATA TRANSABDOMINAL,M
881502,ECOGRAFIA DE PROSTATA TRANSRECTAL,M
881510,ECOGRAFIA TESTICULAR CON TRANSDUCTOR DE 7 MHZ O MAS,M
881511,ECOGRAFIA TESTICULAR CON ANALISIS DOPPLER,M
881521,ECOGRAFIA DE PENE CON TRANSDUCTOR DE 7 MHZ O MAS,M
882270,PLETISMOGRAFIA ARTERIAL PENEANA,M
882272,ECOGRAFIA DOPPLER DE VASOS DEL PENE,M
892903,PENOSCOPIA,M
892905,CAVERNOSOMETRIA,M
892906,CAVERNOSOGRAFIA,M
892907,MONITOREO PENEANO,M
892908,BIOTESIOMETRIA,M
892909,PRUEBA FARMACOLOGICA INTRACAVERNOSA,M
903013,ESPERMOGRAMA COMPLETO,M
903055,ESPERMATOZOIDES PEROXIDACION LIPIDICA,M
903831,FOSFATASA ACIDA FRACCION PROSTATICA SEMIAUTOMATIZADA,M
903832,FOSFATASA ACIDA FRACCION PROSTATICA AUTOMATIZADA,M
906610,ANTIGENO ESPECIFICO DE PROSTATA SEMIAUTOMATIZADO O AUTOMATIZADO,M
906611,ANTIGENO ESPECIFICO DE PROSTATA FRACCION LIBRE SEMIAUTOMATIZADO O AUTOMATIZADO,M
906612,ANTIGENO ESPECIFICO DE PROSTATA VELOCIDAD DE CAMBIO 2 MUESTRAS SEMIAUTOMATIZADO O AUTOMATIZADO,M
907201,ESPERMOGRAMA BASICO,M
907203,LIQUIDO PROSTATICO (EXAMEN MICROSCOPICO),M
908435,PCA3 PARA CANCER DE PROSTATA,M
920806,GAMAGRAFIA DE PERFUSION TESTICULAR Y CONTENIDO ESCROTAL,M
982400,EXTRACCION SIN INCISION DE CUERPO EXTRAÑO NO INTRALUMINAL EN PENE O ESCROTO SOD,M
487301,FISTULECTOMIA RECTO-VAGINAL CON COLOSTOMIA,F
487901,REPARACION DE LESION OBSTETRICA ANTIGUA DE RECTO,F
497110,REPARACION DE LACERACIONES O DESGARROS NO OBSTETRICOS QUE INVOLUCRAN RECTO Y ESFINTER ANAL (GRADO III),F
497303,FISTULECTOMIA ANO-VAGINAL,F
497505,CORRECCION DE ANO IMPERFORADO Y FISTULA RECTO-VAGINAL,F
568403,FISTULECTOMIA VESICO-URETERO-VAGINAL Y REIMPLANTE URETERAL VIA ABIERTA,F
568404,FISTULECTOMIA VESICO-URETERO-VAGINAL Y REIMPLANTE URETERAL VIA LAPAROSCOPICA,F
578303,FISTULECTOMIA RECTO-VESICAL O RECTO-VESICO-VAGINAL VIA ABIERTA,F
578304,FISTULECTOMIA RECTO-VESICAL O RECTO-VESICO-VAGINAL VIA LAPAROSCOPICA,F
578305,FISTULECTOMIA VESICO-SIGMOIDO-VAGINAL VIA ABIERTA,F
578306,FISTULECTOMIA VESICO-SIGMOIDO-VAGINAL VIA LAPAROSCOPICA,F
578402,FISTULECTOMIA VESICO-VAGINAL,F
578403,FISTULECTOMIA UTERO-VESICAL (VESICOUTERINA),F
578910,REPARACION DE LACERACIONES O DESGARROS NO OBSTETRICOS QUE INVOLUCRAN VEJIGA Y URETRA (GRADO IV),F
584101,URETRORRAFIA FEMENINA,F
597104,CISTOURETROPEXIA VAGINAL,F
597941,URETROCOLPOPEXIA REPRODUCIDA VIA VAGINAL O ABDOMINAL,F
651201,BIOPSIA EN OVARIO POR LAPAROTOMIA,F
651202,BIOPSIA EN OVARIO POR LAPAROSCOPIA,F
651203,BIOPSIA DE OVARIO VIA PERCUTANEA,F
651204,BIOPSIA DE OVARIO VIA VAGINAL,F
652101,CISTECTOMIA DE OVARIO POR LAPAROTOMIA,F
652102,CISTECTOMIA DE OVARIO POR LAPAROSCOPIA,F
652103,CISTECTOMIA DE OVARIO VIA VAGINAL,F
652201,RESECCION PARCIAL DE OVARIO POR LAPAROTOMIA,F
652202,RESECCION PARCIAL DE OVARIO POR LAPAROSCOPIA,F
652203,RESECCION PARCIAL DE OVARIO VIA VAGINAL,F
652301,RESECCION DE TUMOR DE OVARIO POR LAPAROTOMIA,F
652302,RESECCION DE TUMOR DE OVARIO POR LAPAROSCOPIA,F
652303,RESECCION DE TUMOR DE OVARIO VIA VAGINAL,F
652304,CITORREDUCCION DE TUMOR DE OVARIO POR LAPAROTOMIA,F
652305,CITORREDUCCION DE TUMOR DE OVARIO POR LAPAROSCOPIA,F
652401,PUNCION Y DRENAJE DE LESION DE OVARIO POR LAPAROTOMIA,F
652402,PUNCION Y DRENAJE DE LESION DE OVARIO POR LAPAROSCOPIA,F
652403,PUNCION Y DRENAJE DE LESION DE OVARIO VIA PERCUTANEA,F
652404,PUNCION Y DRENAJE DE LESION DE OVARIO VIA VAGINAL,F
652410,OFOROSTOMIA,F
652701,FULGURACION EN OVARIO POR LAPAROTOMIA,F
652801,RESECCION DE QUISTE PARAOVARICO POR LAPAROTOMIA,F
652802,RESECCION DE QUISTE PARAOVARICO POR LAPAROSCOPIA,F
652901,LIBERACION O LISIS DE ADHERENCIAS (LEVES  MODERADAS O SEVERAS) DE OVARIO POR LAPAROTOMIA,F
652902,LIBERACION O LISIS DE ADHERENCIAS (LEVES  MODERADAS O SEVERAS) DE OVARIO POR LAPAROSCOPIA,F
653101,OOFORECTOMIA UNILATERAL POR LAPAROTOMIA,F
653102,OOFORECTOMIA UNILATERAL POR LAPAROSCOPIA,F
653104,OOFORECTOMIA UNILATERAL VIA VAGINAL,F
655104,OOFORECTOMIA BILATERAL VIA VAGINAL,F
657001,OFOROPLASTIA POR LAPAROTOMIA,F
657002,OFOROPLASTIA POR LAPAROSCOPIA,F
657801,OOFOROPEXIA UNILATERAL POR LAPAROTOMIA,F
657802,OOFOROPEXIA UNILATERAL POR LAPAROSCOPIA,F
657803,OOFOROPEXIA BILATERAL POR LAPAROTOMIA,F
657804,OOFOROPEXIA BILATERAL POR LAPAROSCOPIA,F
659101,ASPIRACION FOLICULAR DE OVARIO VIA VAGINAL,F
659102,ASPIRACION FOLICULAR DE OVARIO POR LAPAROSCOPIA,F
659301,ESCISION DE EMBARAZO ECTOPICO OVARICO SIN OOFORECTOMIA POR LAPAROTOMIA,F
659302,ESCISION DE EMBARAZO ECTOPICO OVARICO SIN OOFORECTOMIA POR LAPAROSCOPIA,F
659510,LIBERACION DE TORSION DE OVARIO POR LAPAROTOMIA,F
660201,SALPINGOSTOMIA POR LAPAROTOMIA,F
661110,BIOPSIA DE TROMPAS DE FALOPIO POR LAPAROTOMIA,F
661120,BIOPSIA DE TROMPAS DE FALOPIO POR LAPAROSCOPIA,F
662101,ABLACION U OCLUSION DE TROMPA DE FALOPIO UNICA POR LAPAROTOMIA,F
662102,ABLACION U OCLUSION DE TROMPA DE FALOPIO UNICA POR LAPAROSCOPIA,F
662103,ABLACION U OCLUSION DE TROMPA DE FALOPIO UNICA POR VIA VAGINAL,F
662104,ABLACION U OCLUSION DE TROMPA DE FALOPIO UNICA POR HISTEROSCOPIA,F
662201,ABLACION U OCLUSION DE TROMPA DE FALOPIO BILATERAL POR LAPAROTOMIA,F
662202,ABLACION U OCLUSION DE TROMPA DE FALOPIO BILATERAL POR LAPAROSCOPIA,F
662203,ABLACION U OCLUSION DE TROMPA DE FALOPIO BILATERAL POR VIA VAGINAL,F
662204,ABLACION U OCLUSION DE TROMPA DE FALOPIO BILATERAL POR HISTEROSCOPIA,F
664001,SALPINGECTOMIA UNILATERAL TOTAL POR LAPAROTOMIA,F
664002,SALPINGECTOMIA UNILATERAL TOTAL POR LAPAROSCOPIA,F
664003,SALPINGECTOMIA UNILATERAL TOTAL POR VIA VAGINAL,F
665003,SALPINGECTOMIA BILATERAL TOTAL POR VIA VAGINAL,F
666110,ESCISION DE LESION CON SALPINGECTOMIA PARCIAL,F
666210,RESECCION DE LESION EN MESOSALPINX POR LAPAROTOMIA,F
666220,RESECCION DE LESION EN MESOSALPINX POR LAPAROSCOPIA,F
667101,SUTURA SIMPLE DE TROMPA DE FALOPIO POR LAPAROTOMIA,F
667102,SUTURA SIMPLE DE TROMPA DE FALOPIO POR LAPAROSCOPIA,F
667301,SALPINGO-SALPINGOSTOMIA POR LAPAROTOMIA,F
667401,SALPINGOHISTEROTOMIA (SALPINGO-UTEROSTOMIA) POR LAPAROTOMIA,F
667402,SALPINGOHISTEROTOMIA (SALPINGO-UTEROSTOMIA) POR LAPAROSCOPIA,F
667901,SALPINGOPLASTIA (FIMBRIOPLASTIA) POR LAPAROTOMIA,F
667902,SALPINGOPLASTIA (FIMBRIOPLASTIA) POR LAPAROSCOPIA,F
669101,SALPINGO-OOFORECTOMIA UNILATERAL POR LAPAROTOMIA,F
669102,SALPINGO-OOFORECTOMIA UNILATERAL POR LAPAROSCOPIA,F
669103,SALPINGO-OOFORECTOMIA UNILATERAL POR VIA VAGINAL,F
669201,SALPINGO-OOFORECTOMIA BILATERAL POR LAPAROTOMIA,F
669202,SALPINGO-OOFORECTOMIA BILATERAL POR LAPAROSCOPIA,F
669203,SALPINGO-OOFORECTOMIA BILATERAL POR VIA VAGINAL,F
669410,SALPINGO-OOFOROPLASTIA [OPERACION DE ESTES],F
670101,DILATACION Y CURETAJE DEL MUÑON CERVICAL,F
671201,BIOPSIA EN SACABOCADO DE CUELLO UTERINO,F
671202,BIOPSIA DE CUELLO UTERINO CIRCUNFERENCIAL,F
672001,CONIZACION CERVICAL,F
673101,ESCISION DE POLIPO EN CUELLO UTERINO [CERVIX],F
673201,ABLACION DE LESION O TEJIDO DE CUELLO UTERINO,F
674101,ESCISION DE MUÑON CERVICAL POR LAPAROTOMIA,F
674102,ESCISION DE MUÑON CERVICAL POR LAPAROSCOPIA,F
674103,ESCISION DE MUÑON CERVICAL POR VIA VAGINAL,F
675101,CERCLAJE DE ISTMO UTERINO POR LAPAROTOMIA,F
675102,CERCLAJE DE ISTMO UTERINO POR LAPAROSCOPIA,F
675103,CERCLAJE DE ISTMO UTERINO POR VIA VAGINAL,F
676101,SUTURA DE LACERACION O DESGARRO DE CUELLO UTERINO [CERVIX] VIA VAGINAL,F
676102,SUTURA DE ANILLO PERICERVICAL POR LAPAROSCOPIA,F
676103,SUTURA DE ANILLO PERICERVICAL VIA VAGINAL,F
676910,CORRECCION DE DESGARRO OBSTETRICO ANTIGUO DE CUELLO UTERINO,F
676920,TRAQUELOPLASTIA CON TRAQUELORRAFIA,F
680101,HISTEROTOMIA,F
681101,BIOPSIA DE UTERO POR LAPAROTOMIA,F
681102,BIOPSIA DE UTERO POR LAPAROSCOPIA,F
681103,BIOPSIA DE LIGAMENTOS UTERINOS POR LAPAROTOMIA,F
681104,BIOPSIA DE LIGAMENTOS UTERINOS POR LAPAROSCOPIA,F
681105,BIOPSIA DE ENDOMETRIO,F
681201,HISTEROSCOPIA,F
682201,INCISION O ESCISION DE TABIQUE CONGENITO UTERINO POR LAPAROTOMIA,F
682202,INCISION O ESCISION DE TABIQUE CONGENITO UTERINO POR HISTEROSCOPIA,F
682203,INCISION O ESCISION DE TABIQUE CONGENITO UTERINO POR LAPAROSCOPIA,F
682302,RESECCION DE POLIPO ENDOMETRIAL POR HISTEROSCOPIA,F
682303,ESCISION DE POLIPO ENDOMETRIAL POR LEGRADO,F
682401,MIOMECTOMIA UTERINA UNICA O MULTIPLE POR LAPAROTOMIA,F
682402,MIOMECTOMIA UTERINA UNICA O MULTIPLE POR VIA VAGINAL,F
682501,ABLACION ENDOMETRIAL O ENDOMETRECTOMIA POR VIA VAGINAL,F
682510,ABLACION ENDOMETRIAL O ENDOMETRECTOMIA POR HISTEROSCOPIA,F
690103,LEGRADO UTERINO GINECOLOGICO,F
691101,ESCISION Y ABLACION DE ENDOMETRIOSIS POR LAPAROTOMIA,F
691103,ESCISION O ABLACION DE ENDOMETRIOSIS PROFUNDA POR LAPAROTOMIA,F
691110,RESECCION DE TUMOR DE LIGAMENTO ANCHO POR LAPAROTOMIA,F
691130,SECCION DE LIGAMENTO UTERO SACRO POR LAPAROTOMIA,F
691201,ESCISION Y ABLACION DE ENDOMETROSIS ESTADOS I Y II POR LAPAROSCOPIA,F
691202,ESCISION Y ABLACION DE ENDOMETROSIS ESTADOS III Y IV POR LAPAROSCOPIA,F
691204,ESCISION O ABLACION DE ENDOMETRIOSIS PROFUNDA POR LAPAROSCOPIA,F
691301,SECCION DE ADHERENCIAS UTERINAS A PARED ABDOMINAL VIA LAPAROTOMIA,F
691302,SECCION DE ADHERENCIAS UTERINAS A PARED ABDOMINAL VIA LAPAROSCOPICA,F
691901,DRENAJE DE COLECCION DE LIGAMENTO ANCHO POR LAPAROTOMIA,F
691910,CITORREDUCCION DE TUMOR DE LIGAMENTO ANCHO O DE LIGAMENTO UTERO SACRO,F
692201,HISTEROPEXIA POR LAPAROTOMIA,F
692202,HISTEROPEXIA POR LAPAROSCOPIA,F
692203,HISTEROPEXIA POR VIA VAGINAL,F
692204,CERVICOPEXIA POR LAPAROTOMIA,F
692205,CERVICOPEXIA POR LAPAROSCOPIA,F
692206,CERVICOPEXIA POR VIA VAGINAL,F
694101,HISTERORRAFIA POR LAPAROTOMIA,F
694102,HISTERORRAFIA POR LAPAROSCOPIA,F
694201,CIERRE DE FISTULA DE UTERO (ISTMOCELE) POR LAPAROTOMIA,F
694202,CIERRE DE FISTULA DE UTERO (ISTMOCELE) POR LAPAROSCOPIA,F
694203,CIERRE DE FISTULA DE UTERO (ISTMOCELE) POR VIA VAGINAL,F
694204,CIERRE DE FISTULA DE UTERO (ISTMOCELE) POR HISTEROSCOPIA,F
697101,INSERCION DE DISPOSITIVO INTRAUTERINO ANTICONCEPTIVO [DIU],F
698001,EXTRACCION DE CUERPO EXTRAÑO INTRAUTERINO POR LAPAROTOMIA,F
698002,EXTRACCION DE CUERPO EXTRAÑO INTRAUTERINO POR LAPAROSCOPIA,F
698003,EXTRACCION DE CUERPO EXTRAÑO INTRAUTERINO POR HISTEROSCOPIA,F
698004,EXTRACCION DE CUERPO EXTRAÑO INTRAUTERINO POR LEGRADO,F
699101,INSERCION DE DISPOSITIVO TERAPEUTICO NO ANTICONCEPTIVO EN EL UTERO,F
699102,INSERCION DE DISPOSITIVO TERAPEUTICO NO ANTICONCEPTIVO EN CERVIX,F
699103,INSERCION DE DISPOSITIVO TERAPEUTICO NO ANTICONCEPTIVO EN VAGINA,F
699601,RETIRO DE MATERIAL DE CERCLAJE DE CUELLO UTERINO POR LAPAROSCOPIA,F
699602,RETIRO DE MATERIAL DE CERCLAJE DE CUELLO UTERINO VIA VAGINAL,F
699701,RETIRO DE DISPOSITIVO EN CUELLO UTERINO VIA VAGINAL,F
699702,RETIRO CUERPO EXTRAÑO PENETRANTE EN CUELLO UTERINO VIA VAGINAL,F
700101,CULDOCENTESIS [COLPOCENTESIS],F
701204,COLPOTOMIA,F
701301,LIBERACION DE ADHERENCIAS INTRALUMINALES EN VAGINA,F
701410,SECCION O INCISION DE TABIQUE VAGINAL,F
701420,DRENAJE DE COLECCION DE FONDO DE SACO (CUPULA VAGINAL),F
701430,VAGINOPERINEOTOMIA,F
702101,VAGINOSCOPIA,F
702203,COLPOSCOPIA,F
702401,BIOPSIA DE VAGINA,F
703101,HIMENECTOMIA,F
703102,HIMENOTOMIA,F
703301,RESECCION DEL TABIQUE VAGINAL,F
703302,RESECCION O ABLACION DE LESION O TEJIDO VAGINAL,F
703340,RESECCION DE TUMOR MALIGNO DE VAGINA,F
705110,COLPORRAFIA ANTERIOR CON PLASTIA O REPARACION DE URETROCELE,F
705210,COLPORRAFIA POSTERIOR,F
705301,COLPORRAFIA ANTERIOR Y POSTERIOR,F
705302,COLPORRAFIA ANTERIOR Y POSTERIOR CON REPARACION DE ENTEROCELE,F
705303,COLPORRAFIA ANTERIOR Y POSTERIOR CON AMPUTACION DE CUELLO,F
706001,RECONSTRUCCION DE VAGINA,F
706102,VAGINOPLASTIA VIA PERINEAL,F
706103,VAGINOPLASTIA VIA ABDOMINOPERINEAL,F
706104,VAGINOPLASTIA POR LAPAROTOMIA,F
706105,VAGINOPLASTIA POR LAPAROSCOPIA,F
707110,REPARACION DE DESGARRO VAGINAL NO OBSTETRICO GRADO I-II (COMPROMISO MUCOSO O MUSCULAR),F
707120,REPARACION DE DESGARRO VAGINAL NO OBSTETRICO GRADO III (RECTOVAGINAL CON COMPROMISO DE ESFINTER ANAL),F
707130,REPARACION DE DESGARRO VAGINAL NO OBSTETRICO GRADO IV (ESTALLIDO DE VEJIGA CON O SIN EVISCERACION),F
707201,CORRECCION DE FISTULA COLOVAGINAL,F
707301,CORRECCION DE FISTULA RECTO-VAGINAL O PERINEAL,F
707401,CORRECCION DE OTRA FISTULA VAGINOINTESTINAL,F
707501,CIERRE DE FISTULA URETROVAGINAL O VESICO VAGINALPOR LAPAROTOMIA,F
707502,CIERRE DE FISTULA URETROVAGINAL O VESICO VAGINAL VIA LAPAROSCOPICA,F
707503,CIERRE DE FISTULA URETROVAGINAL O VESICO VAGINAL VIA VAGINAL,F
707701,COLPOPEXIA POR LAPAROTOMIA,F
707702,COLPOPEXIA VIA VAGINAL,F
707703,COLPOPEXIA POR LAPAROSCOPIA,F
707930,CORRECCION DE SENO UROGENITAL,F
709101,EXTRACCION DE DISPOSITIVO O CUERPO EXTRAÑO EN VAGINA SIN INCISION,F
709102,EXTRACCION DE DISPOSITIVO O CUERPO EXTRAÑO EN VAGINA CON INCISION,F
709204,REPARACION DE DEFECTO PARAVAGINAL POR LAPAROTOMIA,F
709205,REPARACION DE DEFECTO PARAVAGINAL POR LAPAROSCOPIA,F
709206,REPARACION DE DEFECTO PARAVAGINAL VIA VAGINAL,F
710101,LISIS DE ADHERENCIAS EN LA VULVA,F
711110,BIOPSIA DE LABIO MAYOR VULVA,F
711120,BIOPSIA DE CLITORIS,F
711130,BIOPSIA DE GLANDULA DE BARTHOLIN,F
711301,BIOPSIA EN PERINE,F
712401,RESECCION O ABLACION DE GLANDULA DE BARTHOLIN,F
713101,RESECCION O ABLACION DE GLANDULA DE SKENE,F
713401,RESECCION DE ENDOMETRIOMA EN PERINE,F
713501,RESECCION DE GRANULOMA VULVO-PERINEAL,F
713502,RESECCION DE LESION VULVO-PERINEAL,F
717201,CORRECCION DE FISTULA DE VULVA,F
717202,CORRECCION DE FISTULA DE PERINE,F
717301,DRENAJE DE COLECCION VULVOPERINEAL,F
718101,EXTRACCION DE CUERPO EXTRAÑO DE VULVA O PERINE SIN INCISION,F
718102,EXTRACCION DE CUERPO EXTRAÑO DE VULVA O PERINE CON INCISION,F
732201,PARTO INTERVENIDO CON MANIOBRAS DE VERSION,F
735930,ASISTENCIA DEL PARTO ESPONTANEO GEMELAR O MULTIPLE,F
735931,ASISTENCIA DEL PARTO INTERVENIDO GEMELAR O MULTIPLE,F
743101,REMOCION DE EMBARAZO ECTOPICO ABDOMINAL POR LAPAROTOMIA,F
743102,REMOCION DE EMBARAZO ECTOPICO ABDOMINAL POR LAPAROSCOPIA,F
743201,REMOCION DE FETO EN CAVIDAD PERITONEAL SUBSIGUIENTE A RUPTURA UTERINA O TUBARICA POR LAPAROTOMIA,F
743202,REMOCION DE FETO EN CAVIDAD PERITONEAL SUBSIGUIENTE A RUPTURA UTERINA O TUBARICA POR LAPAROSCOPIA,F
750101,LEGRADO UTERINO OBSTETRICO POSPARTO O POSABORTO POR DILATACION Y CURETAJE,F
750301,EVACUACION UTERINA PARA TERMINACION DEL EMBARAZO POR DILATACION Y CURETAJE,F
750302,EVACUACION UTERINA PARA TERMINACION DEL EMBARAZO POR ASPIRACION AL VACIO,F
750303,EVACUACION UTERINA PARA TERMINACION DEL EMBARAZO POR OTROS METODOS,F
751101,AMNIOCENTESIS DIAGNOSTICA,F
751201,AMNIOREDUCCION,F
751202,AMNIOINFUSION,F
752101,TRANSFUSION FETAL INTRAUTERINA,F
753101,AMNIOSCOPIA,F
753801,BIOPSIA DE PLACENTA VIA PERCUTANEA,F
753803,ABLACION DE LESION O TUMOR PLACENTARIO,F
754101,REMOCION MANUAL DE PLACENTA RETENIDA O REVISION UTERINA  SIN ATENCION DEL PARTO,F
755001,REPARACION DE DESGARRO OBSTETRICO RECIENTE DE CUELLO UTERINO [CERVIX] POR LAPAROTOMIA,F
755002,REPARACION DE DESGARRO OBSTETRICO RECIENTE DE CUELLO UTERINO [CERVIX] POR VIA VAGINAL,F
755003,REPARACION DE DESGARRO OBSTETRICO RECIENTE DE CUERPO UTERINO POR LAPAROTOMIA,F
756101,REPARACION DE LACERACIONES O DESGARROS OBSTETRICOS RECIENTES QUE INVOLUCRAN VEJIGA Y URETRA POR LAPAROTOMIA,F
756102,REPARACION DE LACERACIONES O DESGARROS OBSTETRICOS RECIENTES QUE INVOLUCRAN VEJIGA Y URETRA POR VIA VAGINAL,F
756201,REPARACION DE LACERACIONES O DESGARROS OBSTETRICOS RECIENTES QUE INVOLUCRAN RECTO Y ESFINTER ANAL VIA VAGINAL,F
756901,PLASTIA O REPARACION DE DESGARRO OBSTETRICO DE PERINE,F
756902,PLASTIA O REPARACION DE DESGARRO OBSTETRICO VAGINAL,F
756903,PLASTIA O REPARACION DE DESGARRO OBSTETRICO VULVAR,F
756910,REPARO SECUNDARIO DE EPISIOTOMIA,F
758001,TAPONAMIENTO OBSTETRICO DE UTERO,F
758002,TAPONAMIENTO OBSTETRICO DE VAGINA,F
758003,COMPRESION HEMOSTATICA POR LAPAROTOMIA,F
